scenario,source_date,scenario_type,extreme_reason,weight_days,probability,daily_gas_energy_mwh,peak_gas_demand_mw,daily_pv_energy_kwh_per_kwp,mean_assignment_distance,max_assignment_distance,gas_lhv_kwh_sm3,valid_input_days,excluded_input_days,gas_upper_fence_sm3_h,cluster_seed,cluster_restarts,pca_pc1_explained_variance,pca_pc2_explained_variance
p1,2013-02-18,typical,,265,0.11788256227758,44822.459248,2223.6942064,1.52553721775,0.293283253908157,0.670389592647552,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p2,2014-06-17,typical,,649,0.288701067615658,7032.5792128,406.3902016,4.62064408,0.259737193584442,0.587853670120239,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p3,2014-11-10,typical,,268,0.119217081850534,24599.6630824,1324.2897496,1.42277740529,0.302971303462982,0.543972671031952,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p4,2015-12-15,typical,,293,0.130338078291815,35525.7098952,1841.1666152,0.9310658509,0.240974560379982,0.460232526063919,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p5,2017-01-24,extreme,high_gas_low_pv,40,0.0177935943060498,59296.07782,2899.0965848,0.74260204666,0.346261620521545,0.610285878181458,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p6,2017-02-19,typical,,201,0.0894128113879004,34334.9360656,1739.784124,3.45666195389,0.333444476127625,0.722086429595947,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p7,2017-04-05,typical,,280,0.124555160142349,20203.4139552,1271.5644024,4.15156499029,0.352629393339157,0.584320962429047,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p8,2017-09-01,extreme,low_gas_low_pv,88,0.0391459074733096,6734.6415736,386.7212456,0.33704840264,0.341517001390457,0.581261992454529,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p9,2018-02-28,extreme,maximum_daily_gas,5,0.00222419928825623,67516.1691312,3394.0015688,4.4957859356,0.323288708925247,0.562317490577698,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p10,2018-03-01,extreme,maximum_hourly_gas,11,0.0048932384341637,65226.2814952,3433.8054424,4.6461211283,0.537127256393433,0.764840662479401,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
p11,2018-06-30,extreme,maximum_daily_pv,148,0.0658362989323843,5658.834808,308.8518936,6.5284018868,0.201058492064476,0.458746701478958,8.9608,2248,124,537963,42,8,0.815269189970973,0.141512563259291
