scenario,source_week_start,source_week_end,scenario_type,extreme_reason,weight_weeks,probability,weekly_gas_energy_mwh,peak_gas_demand_mw,weekly_pv_energy_kwh_per_kwp,mean_assignment_distance,max_assignment_distance,gas_lhv_kwh_sm3,valid_input_weeks,excluded_input_weeks,partial_input_weeks,gas_upper_fence_sm3_h,cluster_seed,cluster_restarts,pca_pc1_explained_variance,pca_pc2_explained_variance
p1,2013-07-01,2013-07-07,typical,,55,0.202952029520295,43387.3333632,412.4566632,34.65390494802,0.310401409864426,0.472238302230835,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p2,2014-10-27,2014-11-02,typical,,34,0.125461254612546,187920.4852768,1728.1082016,16.77781410604,0.481412202119827,0.6878502368927,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p3,2014-12-01,2014-12-07,extreme,minimum_weekly_pv,30,0.11070110701107,271622.7804288,2157.133384,3.23530990454,0.381359577178955,0.544841229915619,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p4,2015-09-21,2015-09-27,typical,,8,0.029520295202952,70441.834488,703.6737024,20.95579914887,0.384603530168533,0.509912669658661,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p5,2015-10-05,2015-10-11,extreme,low_gas_low_pv,8,0.029520295202952,112064.5085464,1137.1165592,10.594535034965,0.419629245996475,0.587659537792206,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p6,2016-05-23,2016-05-29,typical,,32,0.118081180811808,54620.5205568,516.410904,26.96955308396,0.392614543437958,0.576297640800476,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p7,2017-01-02,2017-01-08,extreme,high_gas_low_pv,13,0.0479704797047971,386125.3434392,2965.8814272,7.86047147411,0.492061913013458,0.72199410200119,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p8,2017-05-01,2017-05-07,typical,,28,0.103321033210332,121030.0488096,1285.3192304,27.096569141401,0.473446547985077,0.651482939720154,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p9,2018-01-29,2018-02-04,typical,,50,0.18450184501845,249317.3868136,1932.7818344,13.594999204392,0.452073097229004,0.760229885578156,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p10,2018-02-26,2018-03-04,extreme,maximum_weekly_gas;maximum_hourly_gas,1,0.003690036900369,427834.9372576,3433.8054424,25.679115332139,0.000301373744150624,0.000301373744150624,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
p11,2019-06-24,2019-06-30,extreme,maximum_weekly_pv,12,0.044280442804428,39289.7566608,423.7024672,41.8934422007,0.236736014485359,0.312944382429123,8.9608,271,68,1,537963,42,8,0.789764141870691,0.061002139825207
